Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,alpha,base_score,booster,callbacks,colsample_bylevel,colsample_bynode,colsample_bytree,early_stopping_rounds,enable_categorical,eval_metric,gamma,gpu_id,grow_policy,importance_type,interaction_constraints,lambda,learning_rate,max_bin,max_cat_to_onehot,max_delta_step,max_depth,max_leaves,min_child_weight,missing,monotone_constraints,n_estimators,n_jobs,num_parallel_tree,objective,predictor,random_state,reg_alpha,reg_lambda,sampling_method,scale_pos_weight,subsample,tree_method,validate_parameters,verbosity,mae,mape,r2,rmse,split,model,size,data
2022-09-16 21:49:15,497ms,655a5370d7374a0cb41579e5dc3fe05f,Spain.xgb.test,LOCAL,codrift5.py,marabots,FINISHED,0.003648144216101975,0.5,gbtree,None,1,1,1,None,False,None,0,-1,depthwise,None,,2.2771612076453483e-07,0.300000012,256,4,0,5,0,1,nan,(),100,0,1,reg:squarederror,auto,0,0.00364814419,2.27716114e-07,uniform,1,1,exact,1,None,12637.677761882544,0.30793701056468414,0.3236725396048783,31699.78726041986,test,xgb,7,Spain
2022-09-16 21:49:14,495ms,4a8cfe5e609b4bce90cb8b8afa1ac4b2,Spain.xgb.test,LOCAL,codrift5.py,marabots,FINISHED,0.003648144216101975,0.5,gbtree,None,1,1,1,None,False,None,0,-1,depthwise,None,,2.2771612076453483e-07,0.300000012,256,4,0,5,0,1,nan,(),100,0,1,reg:squarederror,auto,0,0.00364814419,2.27716114e-07,uniform,1,1,exact,1,None,12637.677761882544,0.30793701056468414,0.3236725396048783,31699.78726041986,test,xgb,7,Spain
2022-09-16 21:49:14,493ms,edc8962a18c4416b8dbdce91977bed16,Spain.xgb.test,LOCAL,codrift5.py,marabots,FINISHED,0.003648144216101975,0.5,gbtree,None,1,1,1,None,False,None,0,-1,depthwise,None,,2.2771612076453483e-07,0.300000012,256,4,0,5,0,1,nan,(),100,0,1,reg:squarederror,auto,0,0.00364814419,2.27716114e-07,uniform,1,1,exact,1,None,12637.677761882544,0.30793701056468414,0.3236725396048783,31699.78726041986,test,xgb,7,Spain
2022-09-16 21:49:13,499ms,1be9e538e5474fd4b23cb2564afd8e70,Spain.xgb.test,LOCAL,codrift5.py,marabots,FINISHED,0.003648144216101975,0.5,gbtree,None,1,1,1,None,False,None,0,-1,depthwise,None,,2.2771612076453483e-07,0.300000012,256,4,0,5,0,1,nan,(),100,0,1,reg:squarederror,auto,0,0.00364814419,2.27716114e-07,uniform,1,1,exact,1,None,12637.677761882544,0.30793701056468414,0.3236725396048783,31699.78726041986,test,xgb,7,Spain
2022-09-16 21:49:13,494ms,ea7147c396ae4dfc9c16bb138e1e5675,Spain.xgb.test,LOCAL,codrift5.py,marabots,FINISHED,0.003648144216101975,0.5,gbtree,None,1,1,1,None,False,None,0,-1,depthwise,None,,2.2771612076453483e-07,0.300000012,256,4,0,5,0,1,nan,(),100,0,1,reg:squarederror,auto,0,0.00364814419,2.27716114e-07,uniform,1,1,exact,1,None,12637.677761882544,0.30793701056468414,0.3236725396048783,31699.78726041986,test,xgb,7,Spain
2022-09-16 21:49:12,0.6s,8c1248b82f5343479be927f9bd508055,Spain.xgb.test,LOCAL,codrift5.py,marabots,FINISHED,0.003648144216101975,0.5,gbtree,None,1,1,1,None,False,None,0,-1,depthwise,None,,2.2771612076453483e-07,0.300000012,256,4,0,5,0,1,nan,(),100,0,1,reg:squarederror,auto,0,0.00364814419,2.27716114e-07,uniform,1,1,exact,1,None,12637.677761882544,0.30793701056468414,0.3236725396048783,31699.78726041986,test,xgb,7,Spain
2022-09-16 21:49:12,492ms,ffbdeb67c85b489282bb9ee0e1dcb64a,Spain.xgb.test,LOCAL,codrift5.py,marabots,FINISHED,0.003648144216101975,0.5,gbtree,None,1,1,1,None,False,None,0,-1,depthwise,None,,2.2771612076453483e-07,0.300000012,256,4,0,5,0,1,nan,(),100,0,1,reg:squarederror,auto,0,0.00364814419,2.27716114e-07,uniform,1,1,exact,1,None,12637.677761882544,0.30793701056468414,0.3236725396048783,31699.78726041986,test,xgb,7,Spain
2022-09-16 21:49:11,0.5s,30cf020482454cd5a41b168310741bb5,Spain.xgb.test,LOCAL,codrift5.py,marabots,FINISHED,0.003648144216101975,0.5,gbtree,None,1,1,1,None,False,None,0,-1,depthwise,None,,2.2771612076453483e-07,0.300000012,256,4,0,5,0,1,nan,(),100,0,1,reg:squarederror,auto,0,0.00364814419,2.27716114e-07,uniform,1,1,exact,1,None,12637.677761882544,0.30793701056468414,0.3236725396048783,31699.78726041986,test,xgb,7,Spain
2022-09-16 21:49:11,495ms,d18d78c07d3646c8818cc8bc11a7a92e,Spain.xgb.test,LOCAL,codrift5.py,marabots,FINISHED,0.003648144216101975,0.5,gbtree,None,1,1,1,None,False,None,0,-1,depthwise,None,,2.2771612076453483e-07,0.300000012,256,4,0,5,0,1,nan,(),100,0,1,reg:squarederror,auto,0,0.00364814419,2.27716114e-07,uniform,1,1,exact,1,None,12637.677761882544,0.30793701056468414,0.3236725396048783,31699.78726041986,test,xgb,7,Spain
2022-09-16 21:49:10,0.7s,9706c811db834b96a2158857104d312f,Spain.xgb.test,LOCAL,codrift5.py,marabots,FINISHED,0.003648144216101975,0.5,gbtree,None,1,1,1,None,False,None,0,-1,depthwise,None,,2.2771612076453483e-07,0.300000012,256,4,0,5,0,1,nan,(),100,0,1,reg:squarederror,auto,0,0.00364814419,2.27716114e-07,uniform,1,1,exact,1,None,12637.677761882544,0.30793701056468414,0.3236725396048783,31699.78726041986,test,xgb,7,Spain
2022-09-16 21:49:05,0.5s,8c296310200a409fb5d1214ccf18b98a,Qatar.xgb.test,LOCAL,codrift5.py,marabots,FINISHED,0.01860613764278504,0.5,gbtree,None,1,1,1,None,False,None,0,-1,depthwise,None,,0.03188817712212464,0.300000012,256,4,0,5,0,1,nan,(),100,0,1,reg:squarederror,auto,0,0.0186061375,0.0318881758,uniform,1,1,exact,1,None,18.82603907585144,0.08778571306993543,0.8748759980435189,36.62420117048104,test,xgb,7,Qatar
2022-09-16 21:49:05,0.5s,2283949c27334bc5a4e4cc22a64298d3,Qatar.xgb.test,LOCAL,codrift5.py,marabots,FINISHED,0.01860613764278504,0.5,gbtree,None,1,1,1,None,False,None,0,-1,depthwise,None,,0.03188817712212464,0.300000012,256,4,0,5,0,1,nan,(),100,0,1,reg:squarederror,auto,0,0.0186061375,0.0318881758,uniform,1,1,exact,1,None,18.82603907585144,0.08778571306993543,0.8748759980435189,36.62420117048104,test,xgb,7,Qatar
2022-09-16 21:49:04,0.5s,421dd48f123e4a9a9c51e33769322391,Qatar.xgb.test,LOCAL,codrift5.py,marabots,FINISHED,0.01860613764278504,0.5,gbtree,None,1,1,1,None,False,None,0,-1,depthwise,None,,0.03188817712212464,0.300000012,256,4,0,5,0,1,nan,(),100,0,1,reg:squarederror,auto,0,0.0186061375,0.0318881758,uniform,1,1,exact,1,None,18.82603907585144,0.08778571306993543,0.8748759980435189,36.62420117048104,test,xgb,7,Qatar
